date_raw,price_raw,volume_raw,item,date,price,volume,display_label,log_return,percent_return,absolute_return,big_move,rolling_average_14,rolling_volatility_30,rolling_volume_14
Jan 01 2024 01: +0,641.87,2,Desert Eagle | Blaze (Factory New),2024-01-01,641.87,2,Desert Eagle | Blaze (Factory New),-0.057564349962462284,-5.756434996246228,0.057564349962462284,True,679.1988571428572,135.90208623097274,1.5
Jan 02 2024 01: +0,673.385,2,Desert Eagle | Blaze (Factory New),2024-01-02,673.385,2,Desert Eagle | Blaze (Factory New),0.04793144048279979,4.793144048279979,0.04793144048279979,False,679.1203571428571,136.30802434810022,1.4285714285714286
Jan 05 2024 01: +0,645.269,1,Desert Eagle | Blaze (Factory New),2024-01-05,645.269,1,Desert Eagle | Blaze (Factory New),-0.04264994734022563,-4.264994734022563,0.04264994734022563,False,672.4456428571428,134.89347267556008,1.4285714285714286
Jan 06 2024 01: +0,636.572,1,Desert Eagle | Blaze (Factory New),2024-01-06,636.572,1,Desert Eagle | Blaze (Factory New),-0.013569753898909466,-1.3569753898909467,0.013569753898909466,False,671.8131428571429,132.90975012847946,1.4285714285714286
Jan 08 2024 01: +0,547.359,1,Desert Eagle | Blaze (Factory New),2024-01-08,547.359,1,Desert Eagle | Blaze (Factory New),-0.1509926359410301,-15.09926359410301,0.1509926359410301,True,658.6242857142859,143.09365892455529,1.3571428571428572
Jan 09 2024 01: +0,632.129,3,Desert Eagle | Blaze (Factory New),2024-01-09,632.129,3,Desert Eagle | Blaze (Factory New),0.14398859296605349,14.398859296605348,0.14398859296605349,True,655.9610714285715,151.06192734254697,1.4285714285714286
Jan 10 2024 01: +0,642.516,2,Desert Eagle | Blaze (Factory New),2024-01-10,642.516,2,Desert Eagle | Blaze (Factory New),0.01629823194054721,1.629823194054721,0.01629823194054721,False,657.3281428571428,149.07875699359676,1.5
Jan 11 2024 01: +0,639.179,3,Desert Eagle | Blaze (Factory New),2024-01-11,639.179,3,Desert Eagle | Blaze (Factory New),-0.005207178837626565,-0.5207178837626565,0.005207178837626565,False,654.4643571428571,148.63567902861567,1.6428571428571428
Jan 12 2024 01: +0,616.563,2,Desert Eagle | Blaze (Factory New),2024-01-12,616.563,2,Desert Eagle | Blaze (Factory New),-0.03602403318101506,-3.6024033181015063,0.03602403318101506,False,648.4156428571429,148.85383467962305,1.7142857142857142
Jan 16 2024 01: +0,616.304,1,Desert Eagle | Blaze (Factory New),2024-01-16,616.304,1,Desert Eagle | Blaze (Factory New),-0.00042015887165477555,-0.04201588716547756,0.00042015887165477555,False,647.7967857142856,148.8540083313786,1.7142857142857142
Jan 17 2024 01: +0,639.657,2,Desert Eagle | Blaze (Factory New),2024-01-17,639.657,2,Desert Eagle | Blaze (Factory New),0.037191746895136726,3.7191746895136726,0.037191746895136726,False,645.9582142857143,149.29115230648333,1.7142857142857142
