date,price,volume,item
Jan 09 2015 01: +0,40.704,3,Galil AR | Chatterbox (Field-Tested)
Jan 10 2015 01: +0,98.421,2,Galil AR | Chatterbox (Field-Tested)
Jan 11 2015 01: +0,62.215,5,Galil AR | Chatterbox (Field-Tested)
Jan 12 2015 01: +0,50.183,8,Galil AR | Chatterbox (Field-Tested)
Jan 13 2015 01: +0,53.937,5,Galil AR | Chatterbox (Field-Tested)
Jan 14 2015 01: +0,43.103,5,Galil AR | Chatterbox (Field-Tested)
Jan 15 2015 01: +0,44.375,8,Galil AR | Chatterbox (Field-Tested)
Jan 16 2015 01: +0,58.179,3,Galil AR | Chatterbox (Field-Tested)
Jan 17 2015 01: +0,50.252,6,Galil AR | Chatterbox (Field-Tested)
Jan 18 2015 01: +0,47.68,6,Galil AR | Chatterbox (Field-Tested)
Jan 19 2015 01: +0,49.874,4,Galil AR | Chatterbox (Field-Tested)
Jan 20 2015 01: +0,57.839,3,Galil AR | Chatterbox (Field-Tested)
Jan 21 2015 01: +0,44.7,4,Galil AR | Chatterbox (Field-Tested)
Jan 22 2015 01: +0,44.027,6,Galil AR | Chatterbox (Field-Tested)
Jan 23 2015 01: +0,43.594,3,Galil AR | Chatterbox (Field-Tested)
Jan 24 2015 01: +0,43.018,6,Galil AR | Chatterbox (Field-Tested)
Jan 25 2015 01: +0,44.781,9,Galil AR | Chatterbox (Field-Tested)
Jan 26 2015 01: +0,48.652,3,Galil AR | Chatterbox (Field-Tested)
Jan 27 2015 01: +0,33.751,9,Galil AR | Chatterbox (Field-Tested)
Jan 28 2015 01: +0,34.699,10,Galil AR | Chatterbox (Field-Tested)
Jan 29 2015 01: +0,35.423,5,Galil AR | Chatterbox (Field-Tested)
Jan 30 2015 01: +0,37.906,8,Galil AR | Chatterbox (Field-Tested)
Jan 31 2015 01: +0,47.922,6,Galil AR | Chatterbox (Field-Tested)
Feb 01 2015 01: +0,37.105,9,Galil AR | Chatterbox (Field-Tested)
Feb 02 2015 01: +0,41.016,7,Galil AR | Chatterbox (Field-Tested)
Feb 03 2015 01: +0,40.266,9,Galil AR | Chatterbox (Field-Tested)
Feb 04 2015 01: +0,33.692,6,Galil AR | Chatterbox (Field-Tested)
Feb 05 2015 01: +0,31.126,13,Galil AR | Chatterbox (Field-Tested)
Feb 06 2015 01: +0,33.465,12,Galil AR | Chatterbox (Field-Tested)
Feb 07 2015 01: +0,33.291,10,Galil AR | Chatterbox (Field-Tested)
Feb 08 2015 01: +0,32.378,11,Galil AR | Chatterbox (Field-Tested)
Feb 09 2015 01: +0,31.703,6,Galil AR | Chatterbox (Field-Tested)
Feb 10 2015 01: +0,30.56,9,Galil AR | Chatterbox (Field-Tested)
Feb 11 2015 01: +0,32.852,11,Galil AR | Chatterbox (Field-Tested)
Feb 12 2015 01: +0,39.04,4,Galil AR | Chatterbox (Field-Tested)
Feb 13 2015 01: +0,33.39,6,Galil AR | Chatterbox (Field-Tested)
Feb 14 2015 01: +0,32.826,20,Galil AR | Chatterbox (Field-Tested)
Feb 15 2015 01: +0,36.846,12,Galil AR | Chatterbox (Field-Tested)
Feb 16 2015 01: +0,34.245,8,Galil AR | Chatterbox (Field-Tested)
Feb 17 2015 01: +0,33.661,6,Galil AR | Chatterbox (Field-Tested)
Feb 18 2015 01: +0,38.584,8,Galil AR | Chatterbox (Field-Tested)
Feb 19 2015 01: +0,36.592,10,Galil AR | Chatterbox (Field-Tested)
Feb 20 2015 01: +0,36.017,6,Galil AR | Chatterbox (Field-Tested)
Feb 21 2015 01: +0,35.71,10,Galil AR | Chatterbox (Field-Tested)
Feb 22 2015 01: +0,37.303,9,Galil AR | Chatterbox (Field-Tested)
Feb 23 2015 01: +0,38.085,8,Galil AR | Chatterbox (Field-Tested)
Feb 24 2015 01: +0,37.973,7,Galil AR | Chatterbox (Field-Tested)
Feb 25 2015 01: +0,35.853,5,Galil AR | Chatterbox (Field-Tested)
Feb 26 2015 01: +0,36.645,12,Galil AR | Chatterbox (Field-Tested)
Feb 27 2015 01: +0,36.144,8,Galil AR | Chatterbox (Field-Tested)
Feb 28 2015 01: +0,34.37,15,Galil AR | Chatterbox (Field-Tested)
Mar 01 2015 01: +0,33.638,10,Galil AR | Chatterbox (Field-Tested)
Mar 02 2015 01: +0,32.959,13,Galil AR | Chatterbox (Field-Tested)
Mar 03 2015 01: +0,34.515,7,Galil AR | Chatterbox (Field-Tested)
Mar 04 2015 01: +0,35.061,13,Galil AR | Chatterbox (Field-Tested)
Mar 05 2015 01: +0,37.725,8,Galil AR | Chatterbox (Field-Tested)
Mar 06 2015 01: +0,31.826,7,Galil AR | Chatterbox (Field-Tested)
Mar 07 2015 01: +0,31.528,15,Galil AR | Chatterbox (Field-Tested)
Mar 08 2015 01: +0,31.139,14,Galil AR | Chatterbox (Field-Tested)
Mar 09 2015 01: +0,32.756,9,Galil AR | Chatterbox (Field-Tested)
Mar 10 2015 01: +0,31.156,11,Galil AR | Chatterbox (Field-Tested)
Mar 11 2015 01: +0,28.045,7,Galil AR | Chatterbox (Field-Tested)
Mar 12 2015 01: +0,27.996,13,Galil AR | Chatterbox (Field-Tested)
Mar 13 2015 01: +0,30.715,15,Galil AR | Chatterbox (Field-Tested)
Mar 14 2015 01: +0,29.127,10,Galil AR | Chatterbox (Field-Tested)
Mar 15 2015 01: +0,28.007,17,Galil AR | Chatterbox (Field-Tested)
Mar 16 2015 01: +0,28.118,12,Galil AR | Chatterbox (Field-Tested)
Mar 17 2015 01: +0,27.965,6,Galil AR | Chatterbox (Field-Tested)
Mar 18 2015 01: +0,27.84,11,Galil AR | Chatterbox (Field-Tested)
Mar 19 2015 01: +0,27.844,8,Galil AR | Chatterbox (Field-Tested)
Mar 20 2015 01: +0,25.353,17,Galil AR | Chatterbox (Field-Tested)
Mar 21 2015 01: +0,24.113,15,Galil AR | Chatterbox (Field-Tested)
Mar 22 2015 01: +0,24.798,19,Galil AR | Chatterbox (Field-Tested)
Mar 23 2015 01: +0,26.193,14,Galil AR | Chatterbox (Field-Tested)
Mar 24 2015 01: +0,26.686,15,Galil AR | Chatterbox (Field-Tested)
Mar 25 2015 01: +0,29.658,12,Galil AR | Chatterbox (Field-Tested)
Mar 26 2015 01: +0,29.443,9,Galil AR | Chatterbox (Field-Tested)
