date_raw,price_raw,volume_raw,item,date,price,volume,display_label,log_return,percent_return,absolute_return,big_move,rolling_average_14,rolling_volatility_30,rolling_volume_14
Jan 09 2015 01: +0,40.704,3,Galil AR | Chatterbox (Field-Tested),2015-01-09,40.704,3,Galil AR | Chatterbox (Field-Tested),,,,False,,,
Jan 10 2015 01: +0,98.421,2,Galil AR | Chatterbox (Field-Tested),2015-01-10,98.421,2,Galil AR | Chatterbox (Field-Tested),0.8829278282050337,88.29278282050336,0.8829278282050337,True,,,
Jan 11 2015 01: +0,62.215,5,Galil AR | Chatterbox (Field-Tested),2015-01-11,62.215,5,Galil AR | Chatterbox (Field-Tested),-0.45865806769509604,-45.865806769509604,0.45865806769509604,True,,,
Jan 12 2015 01: +0,50.183,8,Galil AR | Chatterbox (Field-Tested),2015-01-12,50.183,8,Galil AR | Chatterbox (Field-Tested),-0.21491980430154606,-21.491980430154605,0.21491980430154606,True,,,
Jan 13 2015 01: +0,53.937,5,Galil AR | Chatterbox (Field-Tested),2015-01-13,53.937,5,Galil AR | Chatterbox (Field-Tested),0.07214037488621905,7.214037488621905,0.07214037488621905,True,61.092000000000006,,4.6
Jan 14 2015 01: +0,43.103,5,Galil AR | Chatterbox (Field-Tested),2015-01-14,43.103,5,Galil AR | Chatterbox (Field-Tested),-0.22422409855647518,-22.42240985564752,0.22422409855647518,True,58.09383333333333,997.7406892516008,4.666666666666667
Jan 15 2015 01: +0,44.375,8,Galil AR | Chatterbox (Field-Tested),2015-01-15,44.375,8,Galil AR | Chatterbox (Field-Tested),0.02908364753978741,2.908364753978741,0.02908364753978741,False,56.134,892.5123390035633,5.142857142857143
Jan 16 2015 01: +0,58.179,3,Galil AR | Chatterbox (Field-Tested),2015-01-16,58.179,3,Galil AR | Chatterbox (Field-Tested),0.27084821708663354,27.084821708663355,0.27084821708663354,True,56.389625,835.5295160560205,4.875
Jan 17 2015 01: +0,50.252,6,Galil AR | Chatterbox (Field-Tested),2015-01-17,50.252,6,Galil AR | Chatterbox (Field-Tested),-0.146474117740042,-14.6474117740042,0.146474117740042,True,55.70766666666667,784.96921629401,5.0
Jan 18 2015 01: +0,47.68,6,Galil AR | Chatterbox (Field-Tested),2015-01-18,47.68,6,Galil AR | Chatterbox (Field-Tested),-0.052538324385077155,-5.2538324385077155,0.052538324385077155,True,54.9049,735.9877037434874,5.1
Jan 19 2015 01: +0,49.874,4,Galil AR | Chatterbox (Field-Tested),2015-01-19,49.874,4,Galil AR | Chatterbox (Field-Tested),0.044987802126613435,4.498780212661344,0.044987802126613435,False,54.447545454545455,694.0934566458644,5.0
Jan 20 2015 01: +0,57.839,3,Galil AR | Chatterbox (Field-Tested),2015-01-20,57.839,3,Galil AR | Chatterbox (Field-Tested),0.14816346374403797,14.816346374403796,0.14816346374403797,True,54.73016666666667,662.5802587437158,4.833333333333333
Jan 21 2015 01: +0,44.7,4,Galil AR | Chatterbox (Field-Tested),2015-01-21,44.7,4,Galil AR | Chatterbox (Field-Tested),-0.25768978700822254,-25.768978700822252,0.25768978700822254,True,53.958615384615385,651.6267798924905,4.769230769230769
Jan 22 2015 01: +0,44.027,6,Galil AR | Chatterbox (Field-Tested),2015-01-22,44.027,6,Galil AR | Chatterbox (Field-Tested),-0.015170419535432994,-1.5170419535432993,0.015170419535432994,False,53.24921428571429,624.0039003973478,4.857142857142857
Jan 23 2015 01: +0,43.594,3,Galil AR | Chatterbox (Field-Tested),2015-01-23,43.594,3,Galil AR | Chatterbox (Field-Tested),-0.00988355587776936,-0.9883555877769359,0.00988355587776936,False,53.45564285714287,599.5786622677424,4.857142857142857
Jan 24 2015 01: +0,43.018,6,Galil AR | Chatterbox (Field-Tested),2015-01-24,43.018,6,Galil AR | Chatterbox (Field-Tested),-0.013300893452079647,-1.3300893452079647,0.013300893452079647,False,49.498285714285714,577.838207315372,5.142857142857143
Jan 25 2015 01: +0,44.781,9,Galil AR | Chatterbox (Field-Tested),2015-01-25,44.781,9,Galil AR | Chatterbox (Field-Tested),0.04016530956497102,4.0165309564971015,0.04016530956497102,False,48.253,558.516577014347,5.428571428571429
Jan 26 2015 01: +0,48.652,3,Galil AR | Chatterbox (Field-Tested),2015-01-26,48.652,3,Galil AR | Chatterbox (Field-Tested),0.08290897543697771,8.29089754369777,0.08290897543697771,True,48.14364285714286,541.9553228795795,5.071428571428571
Jan 27 2015 01: +0,33.751,9,Galil AR | Chatterbox (Field-Tested),2015-01-27,33.751,9,Galil AR | Chatterbox (Field-Tested),-0.3656828712469704,-36.568287124697044,0.3656828712469704,True,46.70178571428572,552.3882615768888,5.357142857142857
Jan 28 2015 01: +0,34.699,10,Galil AR | Chatterbox (Field-Tested),2015-01-28,34.699,10,Galil AR | Chatterbox (Field-Tested),0.027700821584530494,2.7700821584530493,0.027700821584530494,False,46.1015,537.0846658880171,5.714285714285714
Jan 29 2015 01: +0,35.423,5,Galil AR | Chatterbox (Field-Tested),2015-01-29,35.423,5,Galil AR | Chatterbox (Field-Tested),0.02065045858505673,2.065045858505673,0.02065045858505673,False,45.462071428571434,522.9071256288397,5.5
Jan 30 2015 01: +0,37.906,8,Galil AR | Chatterbox (Field-Tested),2015-01-30,37.906,8,Galil AR | Chatterbox (Field-Tested),0.06774808422530158,6.774808422530159,0.06774808422530158,True,44.014,510.6173191181234,5.857142857142857
Jan 31 2015 01: +0,47.922,6,Galil AR | Chatterbox (Field-Tested),2015-01-31,47.922,6,Galil AR | Chatterbox (Field-Tested),0.23446527825919844,23.446527825919844,0.23446527825919844,True,43.84757142857143,507.6423547555377,5.857142857142857
Feb 01 2015 01: +0,37.105,9,Galil AR | Chatterbox (Field-Tested),2015-02-01,37.105,9,Galil AR | Chatterbox (Field-Tested),-0.2558229577412101,-25.58229577412101,0.2558229577412101,True,43.09221428571429,506.9361208143044,6.071428571428571
Feb 02 2015 01: +0,41.016,7,Galil AR | Chatterbox (Field-Tested),2015-02-02,41.016,7,Galil AR | Chatterbox (Field-Tested),0.1002105030593027,10.02105030593027,0.1002105030593027,True,42.4595,497.4569269625375,6.285714285714286
Feb 03 2015 01: +0,40.266,9,Galil AR | Chatterbox (Field-Tested),2015-02-03,40.266,9,Galil AR | Chatterbox (Field-Tested),-0.018454794077242202,-1.8454794077242203,0.018454794077242202,False,41.20428571428571,487.03580290056465,6.714285714285714
Feb 04 2015 01: +0,33.692,6,Galil AR | Chatterbox (Field-Tested),2015-02-04,33.692,6,Galil AR | Chatterbox (Field-Tested),-0.17824701995103992,-17.824701995103993,0.17824701995103992,True,40.418,481.8240205726145,6.857142857142857
Feb 05 2015 01: +0,31.126,13,Galil AR | Chatterbox (Field-Tested),2015-02-05,31.126,13,Galil AR | Chatterbox (Field-Tested),-0.07921693767029897,-7.921693767029897,0.07921693767029897,True,39.496500000000005,473.20725372925614,7.357142857142857
Feb 06 2015 01: +0,33.465,12,Galil AR | Chatterbox (Field-Tested),2015-02-06,33.465,12,Galil AR | Chatterbox (Field-Tested),0.07245663376978724,7.245663376978724,0.07245663376978724,True,38.773,465.31336399130134,8.0
Feb 07 2015 01: +0,33.291,10,Galil AR | Chatterbox (Field-Tested),2015-02-07,33.291,10,Galil AR | Chatterbox (Field-Tested),-0.005213026366069387,-0.5213026366069388,0.005213026366069387,False,38.07821428571429,456.92908939776214,8.285714285714286
Feb 08 2015 01: +0,32.378,11,Galil AR | Chatterbox (Field-Tested),2015-02-08,32.378,11,Galil AR | Chatterbox (Field-Tested),-0.027807910367222122,-2.780791036722212,0.027807910367222122,False,37.19228571428572,449.04093200496015,8.428571428571429
Feb 09 2015 01: +0,31.703,6,Galil AR | Chatterbox (Field-Tested),2015-02-09,31.703,6,Galil AR | Chatterbox (Field-Tested),-0.02106786618992399,-2.106786618992399,0.02106786618992399,False,35.98164285714286,313.7068901657174,8.642857142857142
Feb 10 2015 01: +0,30.56,9,Galil AR | Chatterbox (Field-Tested),2015-02-10,30.56,9,Galil AR | Chatterbox (Field-Tested),-0.03671934933107041,-3.671934933107041,0.03671934933107041,False,35.75371428571428,274.532814261224,8.642857142857142
