date,price,volume,sticker
May 04 2022 01: +0,0.081,17207,Sticker | FaZe Clan | Antwerp 2022
May 05 2022 01: +0,0.08,5643,Sticker | FaZe Clan | Antwerp 2022
May 06 2022 01: +0,0.087,4890,Sticker | FaZe Clan | Antwerp 2022
May 07 2022 01: +0,0.084,3800,Sticker | FaZe Clan | Antwerp 2022
May 08 2022 01: +0,0.085,3378,Sticker | FaZe Clan | Antwerp 2022
May 09 2022 01: +0,0.083,2786,Sticker | FaZe Clan | Antwerp 2022
May 10 2022 01: +0,0.085,2583,Sticker | FaZe Clan | Antwerp 2022
May 11 2022 01: +0,0.086,5225,Sticker | FaZe Clan | Antwerp 2022
May 12 2022 01: +0,0.084,4299,Sticker | FaZe Clan | Antwerp 2022
May 13 2022 01: +0,0.084,3586,Sticker | FaZe Clan | Antwerp 2022
May 14 2022 01: +0,0.084,3520,Sticker | FaZe Clan | Antwerp 2022
May 15 2022 01: +0,0.082,3124,Sticker | FaZe Clan | Antwerp 2022
May 16 2022 01: +0,0.083,2813,Sticker | FaZe Clan | Antwerp 2022
May 17 2022 01: +0,0.073,1886,Sticker | FaZe Clan | Antwerp 2022
May 18 2022 01: +0,0.082,2387,Sticker | FaZe Clan | Antwerp 2022
May 19 2022 01: +0,0.089,3632,Sticker | FaZe Clan | Antwerp 2022
May 20 2022 01: +0,0.094,2545,Sticker | FaZe Clan | Antwerp 2022
May 21 2022 01: +0,0.093,5810,Sticker | FaZe Clan | Antwerp 2022
May 22 2022 01: +0,0.128,29034,Sticker | FaZe Clan | Antwerp 2022
May 23 2022 01: +0,0.128,7594,Sticker | FaZe Clan | Antwerp 2022
May 24 2022 01: +0,0.126,3840,Sticker | FaZe Clan | Antwerp 2022
May 25 2022 01: +0,0.121,2536,Sticker | FaZe Clan | Antwerp 2022
May 26 2022 01: +0,0.129,2120,Sticker | FaZe Clan | Antwerp 2022
May 27 2022 01: +0,0.138,1615,Sticker | FaZe Clan | Antwerp 2022
May 28 2022 01: +0,0.129,1646,Sticker | FaZe Clan | Antwerp 2022
May 29 2022 01: +0,0.123,1697,Sticker | FaZe Clan | Antwerp 2022
May 30 2022 01: +0,0.11,1587,Sticker | FaZe Clan | Antwerp 2022
May 31 2022 01: +0,0.108,1417,Sticker | FaZe Clan | Antwerp 2022
Jun 01 2022 01: +0,0.119,1238,Sticker | FaZe Clan | Antwerp 2022
Jun 02 2022 01: +0,0.112,6909,Sticker | FaZe Clan | Antwerp 2022
Jun 03 2022 01: +0,0.03,32627,Sticker | FaZe Clan | Antwerp 2022
Jun 04 2022 01: +0,0.03,19702,Sticker | FaZe Clan | Antwerp 2022
Jun 05 2022 01: +0,0.03,21804,Sticker | FaZe Clan | Antwerp 2022
Jun 06 2022 01: +0,0.03,15308,Sticker | FaZe Clan | Antwerp 2022
Jun 07 2022 01: +0,0.03,16208,Sticker | FaZe Clan | Antwerp 2022
Jun 08 2022 01: +0,0.03,11878,Sticker | FaZe Clan | Antwerp 2022
Jun 09 2022 01: +0,0.03,11222,Sticker | FaZe Clan | Antwerp 2022
Jun 10 2022 01: +0,0.03,12908,Sticker | FaZe Clan | Antwerp 2022
Jun 11 2022 01: +0,0.03,12291,Sticker | FaZe Clan | Antwerp 2022
Jun 12 2022 01: +0,0.03,11429,Sticker | FaZe Clan | Antwerp 2022
Jun 13 2022 01: +0,0.03,13212,Sticker | FaZe Clan | Antwerp 2022
Jun 14 2022 01: +0,0.03,10801,Sticker | FaZe Clan | Antwerp 2022
Jun 15 2022 01: +0,0.03,12121,Sticker | FaZe Clan | Antwerp 2022
Jun 16 2022 01: +0,0.03,14164,Sticker | FaZe Clan | Antwerp 2022
Jun 17 2022 01: +0,0.03,13841,Sticker | FaZe Clan | Antwerp 2022
Jun 18 2022 01: +0,0.03,13048,Sticker | FaZe Clan | Antwerp 2022
