date,price,volume,item
Nov 19 2019 01: +0,525.47,1,★ Paracord Knife | Fade (Factory New)
Nov 20 2019 01: +0,619.766,3,★ Paracord Knife | Fade (Factory New)
Nov 21 2019 01: +0,645.31,1,★ Paracord Knife | Fade (Factory New)
Nov 22 2019 01: +0,600.652,2,★ Paracord Knife | Fade (Factory New)
Nov 23 2019 01: +0,581.725,4,★ Paracord Knife | Fade (Factory New)
Nov 24 2019 01: +0,602.836,1,★ Paracord Knife | Fade (Factory New)
Nov 25 2019 01: +0,566.508,2,★ Paracord Knife | Fade (Factory New)
Nov 27 2019 01: +0,513.958,1,★ Paracord Knife | Fade (Factory New)
Nov 28 2019 01: +0,518.654,2,★ Paracord Knife | Fade (Factory New)
Nov 30 2019 01: +0,504.198,3,★ Paracord Knife | Fade (Factory New)
Dec 01 2019 01: +0,265.492,2,★ Paracord Knife | Fade (Factory New)
Dec 03 2019 01: +0,534.696,2,★ Paracord Knife | Fade (Factory New)
Dec 04 2019 01: +0,510.442,1,★ Paracord Knife | Fade (Factory New)
Dec 06 2019 01: +0,582.97,2,★ Paracord Knife | Fade (Factory New)
Dec 07 2019 01: +0,585.058,5,★ Paracord Knife | Fade (Factory New)
Dec 08 2019 01: +0,719.976,1,★ Paracord Knife | Fade (Factory New)
Dec 11 2019 01: +0,576.454,2,★ Paracord Knife | Fade (Factory New)
Dec 12 2019 01: +0,660.19,1,★ Paracord Knife | Fade (Factory New)
Dec 14 2019 01: +0,682.248,2,★ Paracord Knife | Fade (Factory New)
Dec 16 2019 01: +0,585.385,2,★ Paracord Knife | Fade (Factory New)
Dec 19 2019 01: +0,511.089,1,★ Paracord Knife | Fade (Factory New)
Dec 20 2019 01: +0,531.323,1,★ Paracord Knife | Fade (Factory New)
Dec 24 2019 01: +0,590.846,1,★ Paracord Knife | Fade (Factory New)
Dec 25 2019 01: +0,599.734,1,★ Paracord Knife | Fade (Factory New)
Dec 26 2019 01: +0,602.395,1,★ Paracord Knife | Fade (Factory New)
Dec 27 2019 01: +0,606.292,1,★ Paracord Knife | Fade (Factory New)
Dec 29 2019 01: +0,697.15,1,★ Paracord Knife | Fade (Factory New)
Dec 30 2019 01: +0,719.241,1,★ Paracord Knife | Fade (Factory New)
Dec 31 2019 01: +0,623.027,1,★ Paracord Knife | Fade (Factory New)
Jan 01 2020 01: +0,619.558,1,★ Paracord Knife | Fade (Factory New)
Jan 03 2020 01: +0,613.044,2,★ Paracord Knife | Fade (Factory New)
Jan 05 2020 01: +0,707.793,1,★ Paracord Knife | Fade (Factory New)
Jan 06 2020 01: +0,616.769,1,★ Paracord Knife | Fade (Factory New)
Jan 08 2020 01: +0,714.376,1,★ Paracord Knife | Fade (Factory New)
Jan 09 2020 01: +0,638.249,2,★ Paracord Knife | Fade (Factory New)
Jan 10 2020 01: +0,759.172,1,★ Paracord Knife | Fade (Factory New)
Jan 16 2020 01: +0,653.172,1,★ Paracord Knife | Fade (Factory New)
Jan 20 2020 01: +0,756.988,1,★ Paracord Knife | Fade (Factory New)
Jan 23 2020 01: +0,665.371,1,★ Paracord Knife | Fade (Factory New)
Jan 24 2020 01: +0,667.021,1,★ Paracord Knife | Fade (Factory New)
Jan 28 2020 01: +0,660.801,2,★ Paracord Knife | Fade (Factory New)
Jan 29 2020 01: +0,797.398,1,★ Paracord Knife | Fade (Factory New)
Jan 31 2020 01: +0,712.955,2,★ Paracord Knife | Fade (Factory New)
Feb 02 2020 01: +0,718.78,2,★ Paracord Knife | Fade (Factory New)
Feb 03 2020 01: +0,714.017,1,★ Paracord Knife | Fade (Factory New)
Feb 04 2020 01: +0,721.727,1,★ Paracord Knife | Fade (Factory New)
Feb 06 2020 01: +0,805.849,1,★ Paracord Knife | Fade (Factory New)
Feb 07 2020 01: +0,763.813,1,★ Paracord Knife | Fade (Factory New)
Feb 09 2020 01: +0,781.445,2,★ Paracord Knife | Fade (Factory New)
Feb 10 2020 01: +0,667.707,1,★ Paracord Knife | Fade (Factory New)
Feb 11 2020 01: +0,768.25,2,★ Paracord Knife | Fade (Factory New)
Feb 12 2020 01: +0,796.3,1,★ Paracord Knife | Fade (Factory New)
Feb 16 2020 01: +0,760.253,1,★ Paracord Knife | Fade (Factory New)
Feb 17 2020 01: +0,790.789,2,★ Paracord Knife | Fade (Factory New)
Feb 18 2020 01: +0,791.999,1,★ Paracord Knife | Fade (Factory New)
Feb 22 2020 01: +0,780.365,1,★ Paracord Knife | Fade (Factory New)
Feb 25 2020 01: +0,789.889,2,★ Paracord Knife | Fade (Factory New)
Feb 26 2020 01: +0,774.531,1,★ Paracord Knife | Fade (Factory New)
Feb 27 2020 01: +0,866.274,2,★ Paracord Knife | Fade (Factory New)
Feb 29 2020 01: +0,815.408,4,★ Paracord Knife | Fade (Factory New)
