date,price,volume,case
Jul 02 2014 01: +0,3.663,70167,Operation Breakout Weapon Case
Jul 03 2014 01: +0,2.856,44849,Operation Breakout Weapon Case
Jul 04 2014 01: +0,3.363,25137,Operation Breakout Weapon Case
Jul 05 2014 01: +0,3.407,18923,Operation Breakout Weapon Case
Jul 06 2014 01: +0,3.456,15788,Operation Breakout Weapon Case
Jul 07 2014 01: +0,3.665,12800,Operation Breakout Weapon Case
Jul 08 2014 01: +0,3.819,10284,Operation Breakout Weapon Case
Jul 09 2014 01: +0,2.561,25336,Operation Breakout Weapon Case
Jul 10 2014 01: +0,1.693,35829,Operation Breakout Weapon Case
Jul 11 2014 01: +0,1.42,35745,Operation Breakout Weapon Case
Jul 12 2014 01: +0,1.54,26017,Operation Breakout Weapon Case
Jul 13 2014 01: +0,1.608,20141,Operation Breakout Weapon Case
Jul 14 2014 01: +0,1.686,17805,Operation Breakout Weapon Case
Jul 15 2014 01: +0,1.7,17473,Operation Breakout Weapon Case
Jul 16 2014 01: +0,1.523,21039,Operation Breakout Weapon Case
Jul 17 2014 01: +0,1.105,26759,Operation Breakout Weapon Case
Jul 18 2014 01: +0,1.084,26195,Operation Breakout Weapon Case
Jul 19 2014 01: +0,1.148,23912,Operation Breakout Weapon Case
Jul 20 2014 01: +0,1.161,21608,Operation Breakout Weapon Case
Jul 21 2014 01: +0,1.171,20291,Operation Breakout Weapon Case
Jul 22 2014 01: +0,1.228,19155,Operation Breakout Weapon Case
Jul 23 2014 01: +0,1.245,20724,Operation Breakout Weapon Case
Jul 24 2014 01: +0,1.046,26551,Operation Breakout Weapon Case
Jul 25 2014 01: +0,1.042,33527,Operation Breakout Weapon Case
Jul 26 2014 01: +0,1.142,29971,Operation Breakout Weapon Case
Jul 27 2014 01: +0,1.118,27428,Operation Breakout Weapon Case
Jul 28 2014 01: +0,1.126,27553,Operation Breakout Weapon Case
Jul 29 2014 01: +0,1.226,25911,Operation Breakout Weapon Case
Jul 30 2014 01: +0,1.226,20992,Operation Breakout Weapon Case
Jul 31 2014 01: +0,1.153,25829,Operation Breakout Weapon Case
Aug 01 2014 01: +0,1.154,29718,Operation Breakout Weapon Case
Aug 02 2014 01: +0,1.172,27092,Operation Breakout Weapon Case
Aug 03 2014 01: +0,1.153,27522,Operation Breakout Weapon Case
Aug 04 2014 01: +0,1.14,26015,Operation Breakout Weapon Case
Aug 05 2014 01: +0,1.085,26988,Operation Breakout Weapon Case
Aug 06 2014 01: +0,1.115,26375,Operation Breakout Weapon Case
Aug 07 2014 01: +0,1.105,26571,Operation Breakout Weapon Case
Aug 08 2014 01: +0,1.09,27936,Operation Breakout Weapon Case
Aug 09 2014 01: +0,1.078,27268,Operation Breakout Weapon Case
Aug 10 2014 01: +0,1.05,27117,Operation Breakout Weapon Case
Aug 11 2014 01: +0,1.038,28408,Operation Breakout Weapon Case
Aug 12 2014 01: +0,1.041,26045,Operation Breakout Weapon Case
Aug 13 2014 01: +0,1.038,25808,Operation Breakout Weapon Case
Aug 14 2014 01: +0,1.03,27180,Operation Breakout Weapon Case
Aug 15 2014 01: +0,1.051,31669,Operation Breakout Weapon Case
Aug 16 2014 01: +0,1.043,32656,Operation Breakout Weapon Case
Aug 17 2014 01: +0,0.968,34418,Operation Breakout Weapon Case
Aug 18 2014 01: +0,0.956,32099,Operation Breakout Weapon Case
Aug 19 2014 01: +0,1.016,32692,Operation Breakout Weapon Case
Aug 20 2014 01: +0,1.01,31297,Operation Breakout Weapon Case
