date_raw,price_raw,volume_raw,case,date,price,volume,log_return,percent_return,absolute_return,big_move,rolling_average_14,rolling_volatility_30
Jan 09 2015 01: +0,8.601,74129,Chroma Case,2015-01-09,8.601,74129,,,,False,,
Jan 10 2015 01: +0,5.055,87686,Chroma Case,2015-01-10,5.055,87686,-0.5315006230969078,-53.15006230969078,0.5315006230969078,True,,
Jan 11 2015 01: +0,3.858,86192,Chroma Case,2015-01-11,3.858,86192,-0.2702289379888973,-27.02289379888973,0.2702289379888973,True,,
Jan 12 2015 01: +0,3.619,65737,Chroma Case,2015-01-12,3.619,65737,-0.06395116990193192,-6.395116990193192,0.06395116990193192,True,,
Jan 13 2015 01: +0,3.364,64090,Chroma Case,2015-01-13,3.364,64090,-0.07306700247090389,-7.306700247090389,0.07306700247090389,True,4.8994,
Jan 14 2015 01: +0,2.926,67710,Chroma Case,2015-01-14,2.926,67710,-0.13949443951276894,-13.949443951276894,0.13949443951276894,True,4.5705,372.28062719336214
Jan 15 2015 01: +0,2.803,63915,Chroma Case,2015-01-15,2.803,63915,-0.04294603041528146,-4.294603041528146,0.04294603041528146,False,4.318,359.19147478151626
Jan 16 2015 01: +0,2.487,73142,Chroma Case,2015-01-16,2.487,73142,-0.11961310736138359,-11.961310736138358,0.11961310736138359,True,4.089125,331.47207223144324
Jan 17 2015 01: +0,2.124,86983,Chroma Case,2015-01-17,2.124,86983,-0.15777606144157516,-15.777606144157517,0.15777606144157516,True,3.870777777777778,307.16549738111223
Jan 18 2015 01: +0,1.698,90765,Chroma Case,2015-01-18,1.698,90765,-0.22385001549053696,-22.385001549053698,0.22385001549053696,True,3.6535,289.0184393425725
Jan 19 2015 01: +0,1.784,73073,Chroma Case,2015-01-19,1.784,73073,0.04940694626866219,4.940694626866219,0.04940694626866219,False,3.483545454545455,305.7852377421748
Jan 20 2015 01: +0,1.749,67436,Chroma Case,2015-01-20,1.749,67436,-0.019813838121352532,-1.9813838121352532,0.019813838121352532,False,3.339,300.71001281034273
Jan 21 2015 01: +0,1.628,65931,Chroma Case,2015-01-21,1.628,65931,-0.07169192845611656,-7.169192845611656,0.07169192845611656,True,3.207384615384615,289.537157230213
